
Run Status: Time Limit Exceeded

Last executed input
"9371597631128776948387197132267188677349946742344217846154932859125134924241649584251978418763151253"

Run Status: Wrong Answer
Progress: 10/27 test cases passed.

input	output	expected	
""	0	0	
 
"0"	0	0	
 
"1"	0	1	
 
"2"	0	1	
 
"9"	0	1	
 
"10"	0	1	
 
"11"	0	2	
 
"12"	0	2	
 
"26"	0	2	
 
"27"	0	1	
 
"99"	0	1	
 
"00"	0	0	
 
"01"	0	0	
 
"012"	0	0	
 
"100"	0	0	
 
"101"	0	1	
 
"110"	0	1	
 
"111"	0	3	
 
"112"	0	3	
 
"226"	0	3	
 
"227"	0	2	
 
"230"	0	0	
 
"301"	0	0	
 
"1001"	0	0	
 
"1010"	0	1	
 
"1029"	0	1	
 
"1090"	0	0	
 

Run Status: Wrong Answer
Progress: 54/255 test cases passed.

input	output	expected	
""	0	0	
 
"0"	0	0	
 
"1"	0	1	
 
"2"	0	1	
 
"9"	0	1	
 
"10"	0	1	
 
"11"	0	2	
 
"12"	0	2	
 
"26"	0	2	
 
"27"	0	1	
 
"99"	0	1	
 
"00"	0	0	
 
"01"	0	0	
 
"012"	0	0	
 
"100"	0	0	
 
"101"	0	1	
 
"110"	0	1	
 
"111"	0	3	
 
"112"	0	3	
 
"226"	0	3	
 
"227"	0	2	
 
"230"	0	0	
 
"301"	0	0	
 
"1001"	0	0	
 
"1010"	0	1	
 
"1029"	0	1	
 
"1090"	0	0	
 
"3"	0	1	
 
"4"	0	1	
 
"5"	0	1	
 
"6"	0	1	
 
"7"	0	1	
 
"8"	0	1	
 
"13"	0	2	
 
"14"	0	2	
 
"15"	0	2	
 
"16"	0	2	
 
"17"	0	2	
 
"18"	0	2	
 
"19"	0	2	
 
"20"	0	1	
 
"21"	0	2	
 
"22"	0	2	
 
"23"	0	2	
 
"24"	0	2	
 
"25"	0	2	
 
"28"	0	1	
 
"29"	0	1	
 
"30"	0	0	
 
"31"	0	1	
 
"32"	0	1	
 
"33"	0	1	
 
"34"	0	1	
 
"35"	0	1	
 
"36"	0	1	
 
"37"	0	1	
 
"38"	0	1	
 
"39"	0	1	
 
"40"	0	0	
 
"41"	0	1	
 
"42"	0	1	
 
"43"	0	1	
 
"44"	0	1	
 
"45"	0	1	
 
"46"	0	1	
 
"47"	0	1	
 
"48"	0	1	
 
"49"	0	1	
 
"50"	0	0	
 
"51"	0	1	
 
"52"	0	1	
 
"53"	0	1	
 
"54"	0	1	
 
"55"	0	1	
 
"56"	0	1	
 
"57"	0	1	
 
"58"	0	1	
 
"59"	0	1	
 
"60"	0	0	
 
"61"	0	1	
 
"62"	0	1	
 
"63"	0	1	
 
"64"	0	1	
 
"65"	0	1	
 
"66"	0	1	
 
"67"	0	1	
 
"68"	0	1	
 
"69"	0	1	
 
"70"	0	0	
 
"71"	0	1	
 
"72"	0	1	
 
"73"	0	1	
 
"74"	0	1	
 
"75"	0	1	
 
"76"	0	1	
 
"77"	0	1	
 
"78"	0	1	
 
"79"	0	1	
 
"80"	0	0	
 
"81"	0	1	
 
"82"	0	1	
 
"83"	0	1	
 
"84"	0	1	
 
"85"	0	1	
 
"86"	0	1	
 
"87"	0	1	
 
"88"	0	1	
 
"89"	0	1	
 
"90"	0	0	
 
"91"	0	1	
 
"92"	0	1	
 
"93"	0	1	
 
"94"	0	1	
 
"95"	0	1	
 
"96"	0	1	
 
"97"	0	1	
 
"98"	0	1	
 
"611"	0	2	
 
"4960"	0	0	
 
"7733"	0	1	
 
"698"	0	1	
 
"741"	0	1	
 
"19963"	0	2	
 
"04795"	0	0	
 
"509"	0	0	
 
"2839"	0	1	
 
"600"	0	0	
 
"01244"	0	0	
 
"74937"	0	1	
 
"4365"	0	1	
 
"621"	0	2	
 
"5358"	0	1	
 
"96603"	0	0	
 
"351"	0	1	
 
"5114"	0	3	
 
"03049"	0	0	
 
"5578"	0	1	
 
"3303"	0	0	
 
"925"	0	2	
 
"5243"	0	2	
 
"4875"	0	1	
 
"3804"	0	0	
 
"091"	0	0	
 
"7942"	0	1	
 
"47159"	0	2	
 
"77130"	0	0	
 
"70655"	0	0	
 
"58590"	0	0	
 
"2941"	0	1	
 
"877"	0	1	
 
"8376"	0	1	
 
"6776"	0	1	
 
"5842"	0	1	
 
"47496"	0	1	
 
"6032"	0	0	
 
"7206"	0	1	
 
"8176"	0	2	
